City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Alta Floresta,BR,2019-11-10 05:50:13,-9.87,-56.08,70.41,99,100,2.68,overcast clouds,0.0,0.0
1,Iwanai,JP,2019-11-10 05:50:13,42.97,140.51,40.1,62,47,10.31,scattered clouds,0.0,0.0
2,Arvika,SE,2019-11-10 05:50:14,59.65,12.59,28.0,100,69,10.29,broken clouds,0.0,0.0
3,Hamilton,CA,2019-11-10 05:50:14,43.26,-79.87,39.2,74,75,8.05,broken clouds,0.0,0.0
4,Avarua,CK,2019-11-10 05:48:33,-21.21,-159.78,73.4,83,0,6.93,light rain,0.0,0.0
5,Alofi,NU,2019-11-10 05:45:56,-19.06,-169.92,78.8,74,2,10.29,clear sky,0.0,0.0
6,Puerto Ayora,EC,2019-11-10 05:49:44,-0.74,-90.35,69.01,90,16,3.0,few clouds,0.0,0.0
7,Moree,AU,2019-11-10 05:50:16,-29.46,149.84,80.6,12,0,19.46,clear sky,0.0,0.0
8,Mataura,NZ,2019-11-10 05:50:17,-46.19,168.86,52.0,77,92,7.0,light rain,0.88,0.0
9,Pevek,RU,2019-11-10 05:50:17,69.7,170.27,6.44,67,0,2.68,clear sky,0.0,0.0
10,Port Hardy,CA,2019-11-10 05:50:18,50.7,-127.42,48.2,100,90,3.36,light intensity drizzle,0.0,0.0
11,Wanaka,NZ,2019-11-10 05:50:18,-44.7,169.14,41.88,95,97,3.71,light rain,1.0,0.0
12,Chunskiy,RU,2019-11-10 05:50:18,56.08,99.63,13.44,66,100,10.76,overcast clouds,0.0,0.0
13,Pacific Grove,US,2019-11-10 05:46:38,36.62,-121.92,55.99,93,90,6.93,mist,0.0,0.0
14,Mufumbwe,ZM,2019-11-10 05:50:19,-13.68,24.8,79.25,40,62,6.04,broken clouds,0.0,0.0
15,Do Gonbadan,IR,2019-11-10 05:50:20,30.36,50.8,71.6,14,0,16.11,clear sky,0.0,0.0
16,Ribeira Grande,PT,2019-11-10 05:50:20,38.52,-28.7,62.78,84,51,5.91,broken clouds,0.0,0.0
17,Denpasar,ID,2019-11-10 05:50:21,-8.65,115.22,89.6,59,20,11.41,few clouds,0.0,0.0
