City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Iwanai,JP,40.1,scattered clouds,42.97,140.51,いわない高原ホテル
2,Arvika,SE,28.0,broken clouds,59.65,12.59,Clarion Collection Hotel Bristol
3,Hamilton,CA,39.2,broken clouds,43.26,-79.87,Sheraton Hamilton Hotel
6,Puerto Ayora,EC,69.01,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
10,Port Hardy,CA,48.2,light intensity drizzle,50.7,-127.42,Airport Inn
13,Pacific Grove,US,55.99,mist,36.62,-121.92,Lovers Point Inn
16,Ribeira Grande,PT,62.78,broken clouds,38.52,-28.7,Quinta da Meia Eira
18,Chuy,UY,61.0,few clouds,-33.69,-53.46,Nuevo Hotel Plaza
21,Ushuaia,AR,35.6,few clouds,-54.81,-68.31,Albatros Hotel
24,Kirillov,RU,35.6,overcast clouds,59.86,38.38,Guest House v Kirillove
28,Tasiilaq,GL,37.4,light intensity shower rain,65.61,-37.64,The Red House
30,Carnarvon,ZA,69.19,overcast clouds,-30.97,22.13,Meerkat Manor
34,Gotsu,JP,64.4,broken clouds,35.01,132.22,Super Hotel Gotsu Ekimae
39,Dunedin,NZ,51.01,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
40,Chicama,PE,64.4,mist,-7.84,-79.15,Hotel Las Aldas
42,Kuvandyk,RU,28.54,overcast clouds,51.48,57.35,Hotel Kamenka
43,Albany,US,35.6,overcast clouds,42.65,-73.75,Hilton Albany
44,Luderitz,,62.6,few clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
45,Kodiak,US,55.0,clear sky,39.95,-94.76,
47,Salisbury,GB,44.6,overcast clouds,51.07,-1.8,Mercure White Hart Hotel
51,Hobart,AU,62.01,broken clouds,-42.88,147.33,St Ives Apartments
52,Barrow,AR,45.64,clear sky,-38.31,-60.23,
54,Bethanien,,66.33,clear sky,-26.5,17.16,Bethanie Guesthouse
58,Port Townsend,US,52.0,mist,48.12,-122.76,Aladdin Inn
59,Taltal,CL,51.93,scattered clouds,-25.41,-70.49,Residencial Karime
62,Punta Arenas,CL,37.4,scattered clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
64,Miraflores,PE,57.2,overcast clouds,-16.39,-71.52,Casa de Avila Hotel
66,Shimoda,JP,66.2,few clouds,34.7,138.93,Shimoda Tokyu Hotel
69,Hasaki,JP,69.01,few clouds,35.73,140.83,Inubosaki Kanko Hotel
72,Zaranj,AF,57.2,broken clouds,30.95,61.86,تعمیرات و موبایل فروشی انصاف
77,Beaupre,CA,35.01,overcast clouds,47.04,-70.9,Chateau Mont-Sainte-Anne
78,Petrovsk,RU,32.9,clear sky,52.31,45.39,Scarlet Sails
79,East London,ZA,66.2,few clouds,-33.02,27.91,Tu Casa
81,Tweed,CA,41.0,overcast clouds,44.48,-77.31,Stoco Lake Lodge at Trudeau Park
82,Lagoa,PT,57.2,overcast clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
83,Pisco,PE,63.0,scattered clouds,-13.71,-76.2,Hostal San Isidro Oficial
84,Catalina,PE,63.0,scattered clouds,-13.57,-76.13,Hacienda huarangal chinchaycamac
85,Half Moon Bay,US,54.0,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
86,Hualmay,PE,60.84,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
92,Millbrook,US,43.0,clear sky,32.48,-86.36,Courtyard by Marriott Montgomery Prattville
95,Castro,CL,48.2,overcast clouds,-42.48,-73.76,Hotel Esmeralda
96,Comodoro Rivadavia,AR,44.6,broken clouds,-45.87,-67.48,Austral Hotel
98,Temiscaming,CA,34.0,heavy snow,46.72,-79.1,Auberge Canadienne
100,Energeticheskiy,KZ,48.2,smoke,43.43,77.02,"Gostinitsa ""Uyut"""
101,Lasa,CY,69.8,clear sky,34.92,32.53,Lasa Heights Hotel
104,Nikolskoye,RU,43.0,overcast clouds,59.7,30.79,Tourist House - Sablino
105,Coquimbo,CL,51.8,clear sky,-29.95,-71.34,Hotel San Juan
107,General Pico,AR,60.06,clear sky,-35.66,-63.75,Hotel Malargue
112,Hermanus,ZA,66.99,broken clouds,-34.42,19.24,Misty Waves Boutique Hotel
115,Ilulissat,GL,37.4,broken clouds,69.22,-51.1,Hotel Arctic
117,Cortez,US,35.01,clear sky,37.35,-108.58,Sand Canyon National 9 Inn
120,Aadorf,CH,36.0,fog,47.49,8.9,Restaurant & Hotel Heidelberg
126,Longyearbyen,NO,23.0,broken clouds,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
128,Sitka,US,46.99,clear sky,37.17,-99.65,
130,Saint-Philippe,CA,37.0,overcast clouds,45.36,-73.48,Camping St-Andre
132,Trojes,AL,55.4,broken clouds,41.76,19.96,Preng DODAJ
137,Forestville,CA,30.2,overcast clouds,48.74,-69.09,Camping de la Baie Verte
141,Necochea,AR,39.99,clear sky,-38.55,-58.74,dyd -mar Hotel
144,Adrar,DZ,46.4,clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
147,San Pedro De Tutule,HN,61.57,broken clouds,14.25,-87.86,Hotel La Posada Ventura
148,Mar Del Plata,AR,47.73,overcast clouds,-46.43,-67.52,Hotel Costanera Del Sur
149,Lebu,ET,60.8,clear sky,8.96,38.73,Dah-Lak Guest House
151,Victoriaville,CA,34.0,overcast clouds,46.06,-71.95,Hôtel Le Victorin
152,Torbay,CA,32.0,scattered clouds,47.66,-52.73,See The Sea
159,Cape Town,ZA,64.4,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
163,Jumla,NP,59.23,clear sky,29.28,82.18,Famous bhutuwa corner
165,Sao Mateus,BR,68.2,few clouds,-18.72,-39.86,Hotel Rio Norte
168,Cedar City,US,37.4,clear sky,37.68,-113.06,Hampton Inn Cedar City
169,New Norfolk,AU,62.01,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
171,Hovd,NO,25.0,broken clouds,63.83,10.7,
174,Bredasdorp,ZA,66.99,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
175,Nome,US,48.2,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
178,Grindavik,IS,42.8,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
179,Kaitangata,NZ,51.01,broken clouds,-46.28,169.85,
182,Brae,GB,39.2,scattered clouds,60.4,-1.35,Busta House Hotel
184,Sarkand,KZ,47.16,overcast clouds,45.41,79.91,Гостиница Сарканд
186,Aniva,RU,35.6,few clouds,46.71,142.53,Gostinitsa
193,Caravelas,BR,68.18,clear sky,-17.73,-39.27,Pousada Dos Navegantes
199,Fortuna,US,51.01,overcast clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
205,Port Alfred,ZA,64.0,overcast clouds,-33.59,26.89,The Halyards Hotel
210,Bethel,US,26.6,clear sky,60.79,-161.76,Long House Hotel Bethel
217,Saint George,GR,55.4,scattered clouds,39.45,22.34,
219,Avera,US,41.0,clear sky,33.19,-82.53,
223,Cloquet,US,32.0,overcast clouds,46.72,-92.46,Super 8 by Wyndham Cloquet
225,Veglie,IT,59.0,thunderstorm,40.34,17.97,B&B Corte Regina Esther
233,Bhola,PK,69.8,smoke,32.66,73.89,Lambor لمبوڑ یو۔سی کرنانہ
236,Virginia Beach,US,39.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
237,Salaberry-De-Valleyfield,CA,37.4,overcast clouds,45.26,-74.13,Hôtel Plaza Valleyfield
241,Potsdam,DE,42.01,fog,52.4,13.06,Dorint Hotel Sanssouci Berlin/Potsdam
248,Ponca City,US,54.0,clear sky,36.73,-97.07,Holiday Inn Express & Suites Ponca City
249,Wakkanai,JP,39.2,broken clouds,45.41,141.67,Hyōsetsu-sō
253,Aguililla,MX,63.48,broken clouds,18.74,-102.79,Hotel Plaza
254,Mosquera,CO,55.4,broken clouds,4.71,-74.23,Hotel SJ
255,Ak-Dovurak,RU,27.82,overcast clouds,51.17,90.6,"Gostinitsa ""Cheleesh"""
260,Campobasso,IT,51.01,broken clouds,41.56,14.66,Centrum Palace
261,Terrace,CA,46.4,light rain,54.52,-128.61,Northern Motor Inn
264,Kirkwall,GB,41.0,few clouds,58.98,-2.96,Ayre Hotel
267,Vostok,RU,30.9,few clouds,46.45,135.83,
270,Novo Oriente,BR,68.63,scattered clouds,-5.54,-40.77,Golden Palace Hotel
272,Lamu,CN,41.85,clear sky,35.77,102.37,
273,Abu Kamal,SY,68.9,clear sky,34.45,40.92,
276,Pasvalys,LT,46.4,overcast clouds,56.06,24.4,Camping & Camper place Pasvalys
277,Portland,US,37.99,scattered clouds,43.66,-70.25,Hampton Inn Portland Downtown - Waterfront
278,Narsaq,GL,39.2,drizzle,60.91,-46.05,Hotel Narsaq
279,Susaki,JP,66.2,broken clouds,33.42,133.28,民宿鳥越
287,Fallon,US,23.0,light snow,46.84,-105.12,
288,Pryozerne,UA,46.4,fog,49.42,24.47,Nadiya
291,Carlsbad,CZ,34.0,mist,50.23,12.87,Grandhotel Pupp
292,Westport,US,41.0,clear sky,41.14,-73.36,The Westport Inn
294,Lompoc,US,57.99,mist,34.64,-120.46,Holiday Inn Express Lompoc
297,Praia Da Vitoria,PT,55.4,few clouds,38.73,-27.07,Hotel Branco I
299,Qasigiannguit,GL,37.4,broken clouds,68.82,-51.19,
301,Selfoss,IS,42.8,broken clouds,63.94,-21.0,Selfoss HI Hostel
302,Mountain Home,US,41.0,clear sky,43.13,-115.69,Mountain Home Inn
306,Costinesti,RO,61.0,mist,43.95,28.63,Villa Mar Bella
