City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2019-11-06 03:46:24,-33.59,26.89,64.0,85,56,1.99
1,Hithadhoo,MV,2019-11-06 03:46:24,-0.6,73.08,81.99,73,67,7.63
2,Betong,MY,2019-11-06 03:46:25,5.77,101.07,86.36,56,3,1.57
3,Cape Town,ZA,2019-11-06 03:44:10,-33.93,18.42,64.0,93,75,13.87
4,Noyabrsk,RU,2019-11-06 03:46:25,63.2,75.45,8.76,94,0,11.45
5,Hobart,AU,2019-11-06 03:46:26,-42.88,147.33,64.4,18,75,19.46
6,Rikitea,PF,2019-11-06 03:46:27,-23.12,-134.97,77.63,77,67,1.41
7,Lompoc,US,2019-11-06 03:46:27,34.64,-120.46,59.0,87,1,10.42
8,Vaini,IN,2019-11-06 03:46:28,15.34,74.49,75.2,83,20,3.06
9,Rangapara,IN,2019-11-06 03:46:28,26.82,92.69,70.83,58,0,3.67
10,New Norfolk,AU,2019-11-06 03:46:29,-42.78,147.06,64.4,18,75,19.46
11,Astara,AZ,2019-11-06 03:46:29,38.42,48.87,42.8,100,40,7.38
12,Kapaa,US,2019-11-06 03:42:17,22.08,-159.32,82.4,78,40,2.3
13,Shelburne,CA,2019-11-06 03:46:31,44.08,-80.2,36.0,86,90,10.8
14,Husavik,CA,2019-11-06 03:46:33,50.56,-96.99,18.0,88,100,3.0
15,Puerto Ayora,EC,2019-11-06 03:43:30,-0.74,-90.35,68.0,92,11,5.99
16,Nikki,BJ,2019-11-06 03:46:34,9.94,3.21,73.47,65,0,4.29
17,Ushuaia,AR,2019-11-06 03:46:34,-54.81,-68.31,35.6,98,90,6.93
18,Mookane,BW,2019-11-06 03:46:34,-23.68,26.66,67.64,50,0,5.88
19,Butaritari,KI,2019-11-06 03:43:31,3.07,172.79,84.83,71,65,9.66
20,Alofi,NU,2019-11-06 03:46:35,-19.06,-169.92,78.8,57,40,11.41
21,Port Elizabeth,US,2019-11-06 03:46:36,39.31,-74.98,55.4,93,90,6.4
22,Saint-Philippe,CA,2019-11-06 03:46:36,45.36,-73.48,43.0,70,90,14.99
23,Inhambane,MZ,2019-11-06 03:46:37,-23.87,35.38,75.2,94,20,6.71
24,Bluff,AU,2019-11-06 03:46:37,-23.58,149.07,82.92,14,69,6.02
25,Vila Velha,BR,2019-11-06 03:46:38,-3.71,-38.6,80.6,74,75,13.87
26,Banepa,NP,2019-11-06 03:46:38,27.63,85.52,60.8,82,20,2.08
27,Lillooet,CA,2019-11-06 03:46:39,50.69,-121.94,39.2,93,90,5.82
28,Narsaq,GL,2019-11-06 03:46:39,60.91,-46.05,33.8,80,92,3.36
29,Akropong,GH,2019-11-06 03:46:40,5.97,-0.09,74.93,89,0,2.55
30,Dharchula,IN,2019-11-06 03:46:40,29.85,80.53,49.64,31,0,2.1
31,Hilo,US,2019-11-06 03:46:40,19.71,-155.08,82.4,65,1,5.82
32,Pionerskiy,RU,2019-11-06 03:46:41,61.2,62.86,28.09,96,100,5.23
33,Codrington,AU,2019-11-06 03:46:42,-28.95,153.24,82.4,20,0,6.93
34,Waingapu,ID,2019-11-06 03:46:42,-9.65,120.26,81.55,71,64,6.64
35,Birjand,IR,2019-11-06 03:46:43,32.86,59.22,30.2,42,0,6.93
36,Arraial Do Cabo,BR,2019-11-06 03:46:44,-22.97,-42.02,74.57,93,100,19.08
37,Vanavara,RU,2019-11-06 03:46:44,60.35,102.28,10.72,92,100,10.47
38,Nouadhibou,MR,2019-11-06 03:46:44,20.93,-17.03,68.0,72,0,20.8
39,Gaya,IN,2019-11-06 03:46:45,24.8,85.01,69.8,88,0,3.36
40,La Ferte-Bernard,FR,2019-11-06 03:46:45,48.19,0.65,48.0,100,90,3.36
41,Albany,US,2019-11-06 03:46:46,42.65,-73.75,45.0,78,90,6.78
42,Busselton,AU,2019-11-06 03:46:46,-33.64,115.35,72.0,33,0,8.01
43,Nikolskoye,RU,2019-11-06 03:46:47,59.7,30.79,34.0,55,100,11.18
44,Itacare,BR,2019-11-06 03:46:48,-14.28,-39.0,75.13,88,29,10.04
45,Cherskiy,RU,2019-11-06 03:46:48,68.75,161.3,14.32,75,87,1.36
46,Shibetsu,JP,2019-11-06 03:46:49,44.15,142.46,35.6,93,75,12.75
47,Tabas,IR,2019-11-06 03:46:50,33.6,56.92,46.4,42,0,4.7
48,Salalah,OM,2019-11-06 03:46:51,17.01,54.1,75.2,57,17,3.36
49,Biltine,TD,2019-11-06 03:46:51,14.53,20.93,74.62,17,0,11.7
50,Mataura,NZ,2019-11-06 03:46:52,-46.19,168.86,64.0,69,80,3.78
51,Nizwa,OM,2019-11-06 03:46:52,22.93,57.53,68.99,52,4,1.63
52,Thompson,CA,2019-11-06 03:45:50,55.74,-97.86,5.0,84,75,4.7
53,Punta Arenas,CL,2019-11-06 03:46:53,-53.16,-70.91,37.4,86,75,19.46
54,Huarmey,PE,2019-11-06 03:46:54,-10.07,-78.15,60.98,85,11,1.66
55,Chokurdakh,RU,2019-11-06 03:46:54,70.62,147.9,-2.24,96,67,3.58
56,Kandrian,PG,2019-11-06 03:46:55,-6.21,149.55,73.58,97,100,3.36
57,Tuy Hoa,VN,2019-11-06 03:46:55,13.08,109.3,78.13,78,100,17.67
58,Chuy,UY,2019-11-06 03:46:56,-33.69,-53.46,55.31,70,0,4.85
59,Alta Floresta,BR,2019-11-06 03:46:56,-9.87,-56.08,73.27,91,100,3.58
60,Ucluelet,CA,2019-11-06 03:46:57,48.94,-125.55,50.0,88,75,2.84
61,Te Anau,NZ,2019-11-06 03:42:16,-45.41,167.72,54.28,83,6,3.87
62,Tuktoyaktuk,CA,2019-11-06 03:46:58,69.44,-133.03,26.6,92,90,23.04
63,Arroyo,BO,2019-11-06 03:46:59,-11.08,-66.08,76.6,77,99,2.17
64,Srednekolymsk,RU,2019-11-06 03:46:59,67.46,153.71,3.31,94,100,4.23
65,Severo-Kurilsk,RU,2019-11-06 03:47:00,50.68,156.12,36.14,81,64,17.72
66,Skelleftea,SE,2019-11-06 03:44:31,64.75,20.95,8.6,92,99,6.93
67,East London,ZA,2019-11-06 03:44:03,-33.02,27.91,66.2,93,17,5.82
68,Nisia Floresta,BR,2019-11-06 03:47:02,-6.09,-35.21,77.0,78,20,9.17
69,Oistins,BB,2019-11-06 03:42:56,13.07,-59.53,82.4,78,40,18.34
70,Yellowknife,CA,2019-11-06 03:46:50,62.45,-114.38,10.4,78,90,2.24
71,Avarua,CK,2019-11-06 03:44:12,-21.21,-159.78,73.4,78,100,6.93
72,Atuona,PF,2019-11-06 03:47:04,-9.8,-139.03,80.76,78,25,18.92
73,Zheleznodorozhnyy,RU,2019-11-06 03:47:04,55.75,38.0,50.0,76,76,8.95
74,Tautira,PF,2019-11-06 03:47:05,-17.73,-149.15,84.2,70,20,2.24
75,Tiksi,RU,2019-11-06 03:47:05,71.64,128.87,-9.75,96,80,2.53
76,Esperance,AU,2019-11-06 03:47:05,-33.86,121.89,64.4,52,90,14.99
77,Kudahuvadhoo,MV,2019-11-06 03:47:06,2.67,72.89,81.99,74,100,10.98
78,Qasigiannguit,GL,2019-11-06 03:42:58,68.82,-51.19,18.99,71,94,4.32
79,Castro,CL,2019-11-06 03:47:07,-42.48,-73.76,45.01,94,97,5.84
80,Kavieng,PG,2019-11-06 03:47:08,-2.57,150.8,81.55,83,100,25.39
81,Yagodnoye,RU,2019-11-06 03:47:08,62.52,149.63,12.25,94,100,8.57
82,Tecoanapa,MX,2019-11-06 03:43:22,16.99,-99.26,84.2,79,75,2.24
83,Constitucion,MX,2019-11-06 03:47:09,23.99,-104.67,61.0,72,90,9.17
84,Lata,IN,2019-11-06 03:47:10,30.78,78.62,32.49,22,0,5.95
85,Khani,GE,2019-11-06 03:47:10,41.96,42.96,44.6,75,5,6.93
86,Lasa,CY,2019-11-06 03:47:11,34.92,32.53,66.2,63,0,10.29
87,Salinopolis,BR,2019-11-06 03:47:11,-0.61,-47.36,81.16,80,0,15.37
88,Hermanus,ZA,2019-11-06 03:47:12,-34.42,19.24,66.99,66,88,13.0
89,Souillac,FR,2019-11-06 03:47:12,45.6,-0.6,50.0,93,0,3.36
90,Pevek,RU,2019-11-06 03:47:13,69.7,170.27,15.67,79,88,3.74
91,Barrow,AR,2019-11-06 03:47:14,-38.31,-60.23,51.89,62,0,9.35
92,Benxi,CN,2019-11-06 03:47:14,41.29,123.76,44.6,26,90,2.24
93,Hovd,NO,2019-11-06 03:47:15,63.83,10.7,27.0,85,75,6.93
94,Camacha,PT,2019-11-06 03:47:15,33.08,-16.33,66.2,63,75,10.29
95,Mitsamiouli,KM,2019-11-06 03:42:32,-11.38,43.28,80.6,74,40,5.82
96,Norman Wells,CA,2019-11-06 03:47:17,65.28,-126.83,1.4,84,75,4.7
97,Saldanha,PT,2019-11-06 03:47:17,41.42,-6.55,43.56,90,71,8.86
98,Boende,CD,2019-11-06 03:47:19,-0.28,20.88,70.41,96,100,1.48
99,Vredendal,ZA,2019-11-06 03:47:20,-31.68,18.49,61.14,84,70,7.47
100,Dikson,RU,2019-11-06 03:47:20,73.51,80.55,-2.57,82,93,11.86
101,Sulangan,PH,2019-11-06 03:47:22,11.14,123.72,84.25,69,89,3.31
102,Edson,CA,2019-11-06 03:47:22,53.59,-116.44,14.0,92,90,3.36
103,Lebu,ET,2019-11-06 03:47:23,8.96,38.73,47.97,83,1,1.63
104,Juruti,BR,2019-11-06 03:47:23,-2.16,-56.09,83.35,67,31,4.03
105,Sitka,US,2019-11-06 03:47:24,37.17,-99.65,41.0,69,0,10.0
106,Tuatapere,NZ,2019-11-06 03:47:24,-46.13,167.69,61.43,66,52,2.77
107,Okha,RU,2019-11-06 03:47:25,53.59,142.95,33.51,95,100,18.5
108,Jamestown,AU,2019-11-06 03:47:25,-33.21,138.6,75.06,27,0,24.05
109,Tiznit,MA,2019-11-06 03:44:20,29.7,-9.73,52.3,90,68,2.95
110,Nyaunglebin,MM,2019-11-06 03:47:26,17.95,96.73,83.82,69,100,2.66
111,Vila Franca Do Campo,PT,2019-11-06 03:47:27,37.72,-25.43,60.8,72,75,1.12
112,Mahebourg,MU,2019-11-06 03:47:28,-20.41,57.7,77.0,83,40,3.36
113,Qaanaaq,GL,2019-11-06 03:47:29,77.48,-69.36,3.61,57,0,9.15
114,Byron Bay,AU,2019-11-06 03:47:29,-28.65,153.62,82.4,49,0,12.75
115,Lavrentiya,RU,2019-11-06 03:47:30,65.58,-170.99,25.66,81,8,12.08
116,Iralaya,HN,2019-11-06 03:47:31,15.0,-83.23,83.84,75,3,17.87
117,Orsha,BY,2019-11-06 03:47:31,54.51,30.43,46.76,94,100,7.94
118,Maputo,MZ,2019-11-06 03:44:33,-25.97,32.57,72.0,83,20,6.93
119,Quthing,LS,2019-11-06 03:47:32,-30.4,27.7,52.66,84,43,3.36
120,Aleksandrov Gay,RU,2019-11-06 03:47:32,50.14,48.57,45.28,62,100,16.46
121,Urengoy,RU,2019-11-06 03:47:33,65.96,78.37,5.49,94,14,9.48
122,Airai,TL,2019-11-06 03:47:33,-8.93,125.41,84.47,40,13,8.97
123,Carnarvon,ZA,2019-11-06 03:47:34,-30.97,22.13,64.65,40,33,5.41
124,Kiama,AU,2019-11-06 03:47:34,-34.67,150.86,82.4,17,0,17.22
125,Hofn,IS,2019-11-06 03:47:35,64.25,-15.21,33.22,91,100,15.23
